46520,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
31840,6,2011-02-07,Host,44,Centro Storico,1,1,Private room,2,89,128,4.65,4.73,4.86,4.85,4.91,4.91,4.7,0.78,Firenze,Early Winter,1,private,"43.77709, 11.25216",2024-12-15
222527,0,2011-07-11,Superhost,3,Rifredi,3,2,Entire home,4,300,284,4.85,4.88,4.88,4.99,4.96,4.6,4.86,1.92,Firenze,Early Winter,1,private,"43.82005, 11.22004",2024-12-15
32120,6,2010-03-26,Host,1,Gavinana Galluzzo,1,1,Entire home,2,95,26,4.88,4.88,4.88,4.84,4.96,4.63,4.63,0.16,Firenze,Summer,1,private,"43.76157, 11.27741",2024-12-15
224562,9,2011-09-16,Host,2,Centro Storico,1,1,Entire home,4,60,101,4.66,4.75,4.71,4.76,4.83,4.93,4.64,0.71,Firenze,Early Winter,1,private,"43.772, 11.26142",2024-12-15
32180,11,2014-04-05,Superhost,1,Centro Storico,4,,Entire home,4,105,34,4.76,4.81,4.84,4.81,4.71,4.81,4.84,0.21,Firenze,Early Winter,2,private,"43.76832, 11.24348",2024-12-15
224669,17,2011-09-16,Superhost,3,Campo di Marte,2,1,Entire home,4,86,57,5,5,5,4.98,4.98,4.96,4.98,0.86,Firenze,Early Winter,1,private,"43.76796, 11.2714",2024-12-15
32395,80,2010-06-07,Host,6,Centro Storico,1,1,Hotel room,2,63,682,4.84,4.83,4.85,4.9,4.92,4.75,4.83,4.19,Firenze,Early Winter,1,private,"43.76268, 11.24149",2024-12-15
227059,67,2011-09-20,Superhost,2,Centro Storico,1,1,Private room,2,35,461,4.77,4.8,4.76,4.89,4.86,4.98,4.8,3.45,Firenze,Early Winter,2,shared,"43.77022, 11.2561",2024-12-15
39115,13,2010-07-15,Host,12,Centro Storico,2,1,Private room,2,83,76,4.55,4.7,4.63,4.83,4.76,4.91,4.56,0.47,Firenze,Early Winter,0,private,"43.77525, 11.25258",2024-12-15
230853,53,2011-09-25,Superhost,1,Campo di Marte,2,1,Private room,2,61,549,4.85,4.88,4.89,4.93,4.9,4.58,4.83,3.91,Firenze,Early Winter,1,private,"43.77388, 11.2844",2024-12-15
39165,6,2010-07-15,Host,12,Centro Storico,2,1,Private room,2,95,20,4.28,4.17,4.56,4.67,4.61,4.94,4.33,0.13,Firenze,Early Winter,1,private,"43.77525, 11.25258",2024-12-15
39822,1,2010-06-29,Host,5,Centro Storico,2,1,Entire home,4,121,29,4.43,4.38,4.42,4.69,4.69,4.85,4.42,0.18,Firenze,Early Winter,1,private,"43.76742, 11.24378",2024-12-15
238351,14,2011-07-25,Superhost,6,Centro Storico,1,1,Entire home,2,117,63,4.81,4.84,4.87,4.92,4.98,4.87,4.84,0.44,Firenze,Early Winter,1,private,"43.76914, 11.24193",2024-12-15
43369,1,2012-11-15,Host,160,Centro Storico,1,1,Entire home,2,160,8,4.75,4.75,4.5,5,4.88,4.88,4.5,0.07,Firenze,Early Winter,1,private,"43.76944, 11.26331",2024-12-15
44781,32,2009-08-22,Superhost,3,Centro Storico,1,1,Entire home,2,159,386,4.85,4.87,4.85,4.92,4.91,4.9,4.83,2.41,Firenze,Early Winter,1,private,"43.76418, 11.24618",2024-12-15
45606,22,2010-08-16,Host,4,Isolotto Legnaia,4,2,Entire home,4,82,439,4.75,4.86,4.76,4.91,4.89,4.58,4.75,2.89,Firenze,Summer,1,private,"43.7728, 11.23746",2024-12-15
240985,63,2011-06-09,Superhost,2,Centro Storico,1,,Private room,1,,457,4.84,4.89,4.93,4.93,4.93,4.91,4.8,3.08,Firenze,Early Winter,1,private,"43.77701, 11.25421",2024-12-15
248623,11,2011-10-17,Host,1,Centro Storico,2,1,Entire home,4,120,91,4.57,4.76,4.69,4.68,4.78,4.92,4.69,0.64,Firenze,Early Winter,1,private,"43.7723, 11.2616",2024-12-15
46520,7,2011-02-07,Host,44,Centro Storico,2,1,Private room,3,90,102,4.71,4.82,4.86,4.96,4.93,4.87,4.77,0.63,Firenze,Early Winter,1,private,"43.77699, 11.25216",2024-12-15
46523,17,2011-02-07,Host,44,Centro Storico,1,1,Private room,1,68,258,4.65,4.82,4.89,4.86,4.85,4.81,4.67,1.61,Firenze,Early Winter,1,private,"43.77704, 11.25217",2024-12-15
46524,21,2011-02-07,Host,44,Centro Storico,2,1,Private room,3,93,108,4.71,4.79,4.83,4.89,4.85,4.88,4.72,0.7,Firenze,Early Winter,1,private,"43.777, 11.25216",2024-12-15
47498,11,2010-08-28,Superhost,4,Centro Storico,1,1,Private room,3,65,521,4.57,4.62,4.62,4.88,4.88,4.94,4.59,3.24,Firenze,Early Winter,2,shared,"43.77386, 11.25028",2024-12-15
249512,1,2011-09-29,Host,2,Campo di Marte,6,3,Entire home,10,6399,4,5,5,5,5,5,4.75,5,0.05,Firenze,Early Winter,4,private,"43.76736, 11.27223",2024-12-15
48372,12,2010-07-15,Host,12,Centro Storico,1,1,Private room,1,68,22,4.52,4.61,4.74,4.74,4.83,4.96,4.57,0.15,Firenze,Early Winter,0,private,"43.77525, 11.25258",2024-12-15
52543,16,2010-08-16,Host,4,Isolotto Legnaia,3,2,Entire home,5,90,214,4.74,4.85,4.72,4.89,4.85,4.65,4.71,1.39,Firenze,Early Winter,2,private,"43.77175, 11.2364",2024-12-15
46520,4,2010-08-16,Host,4,Isolotto Legnaia,2,1,Entire home,4,66,209,4.76,4.9,4.81,4.91,4.89,4.72,4.8,1.41,Firenze,Early Winter,1,private,"43.77164, 11.23819",2024-12-15
57542,14,2010-10-29,Superhost,28,Centro Storico,1,1,Entire home,4,120,130,4.49,4.63,4.68,4.56,4.72,4.72,4.48,0.83,Firenze,Early Winter,1,private,"43.77236, 11.24787",2024-12-15
250470,17,2011-10-19,Superhost,1,Centro Storico,2,1,Entire home,4,120,149,4.9,4.91,4.95,4.95,4.95,4.66,4.84,1.06,Firenze,Early Winter,1,private,"43.78118, 11.23266",2024-12-15
57644,13,2010-10-30,Superhost,9,Centro Storico,3,2,Entire home,4,106,102,4.82,4.9,4.84,4.93,4.85,4.96,4.85,0.68,Firenze,Early Winter,1,private,"43.77713, 11.26182",2024-12-15
57767,22,2010-10-30,Superhost,9,Centro Storico,3,2,Entire home,8,221,116,4.91,4.96,4.96,4.89,4.88,4.93,4.89,0.78,Firenze,Early Winter,2,private,"43.76728, 11.25066",2024-12-15
57859,17,2010-10-29,Superhost,28,Centro Storico,1,1,Entire home,3,130,199,4.7,4.77,4.8,4.76,4.84,4.95,4.66,1.3,Firenze,Early Winter,1,private,"43.77613, 11.25492",2024-12-15
60838,17,2010-11-21,Superhost,1,Centro Storico,2,1,Entire home,4,126,116,4.91,4.91,4.96,4.97,5,4.9,4.85,0.75,Firenze,Early Winter,2,private,"43.77263, 11.26316",2024-12-15
251811,23,2010-10-29,Superhost,28,Centro Storico,6,3,Entire home,6,279,203,4.78,4.79,4.84,4.82,4.83,4.83,4.75,1.39,Firenze,Early Winter,1,private,"43.7733, 11.24754",2024-12-15
46520,29,2010-03-21,Host,3,Centro Storico,1,1,Entire home,2,85,196,4.84,4.87,4.9,4.96,4.97,4.92,4.82,1.28,Firenze,Early Winter,1,private,"43.77089, 11.25966",2024-12-15
255154,15,2011-10-27,Host,2,Campo di Marte,4,2,Entire home,4,129,215,4.77,4.84,4.91,4.89,4.89,4.54,4.71,1.68,Firenze,Early Winter,2,private,"43.76813583209722, 11.280788866715431",2024-12-15
66045,0,2010-12-20,Superhost,4,Campo di Marte,2,1,Entire home,4,,96,4.64,4.74,4.7,4.93,4.91,4.52,4.6,0.61,Firenze,Early Winter,1,private,"43.78262, 11.26856",2024-12-15
261609,1,2011-11-05,Superhost,6,Centro Storico,1,,Private room,2,83,10,4.38,4.75,4.88,4.5,5,4.88,4.75,0.07,Firenze,Early Winter,1,private,"43.77455, 11.23997",2024-12-15
66353,8,2010-12-20,Superhost,4,Centro Storico,3,2,Entire home,5,113,31,4.7,4.9,4.83,4.93,4.93,4.86,4.76,0.2,Firenze,Early Winter,3,private,"43.77055, 11.26723",2024-12-15
66598,11,2010-12-20,Superhost,4,Centro Storico,4,2,Entire home,6,133,142,4.87,4.9,4.93,4.94,4.95,4.94,4.86,0.94,Firenze,Early Winter,2,private,"43.76787, 11.26324",2024-12-15
66903,13,2010-12-28,Superhost,1,Centro Storico,2,1,Entire home,4,120,28,4.93,4.93,4.86,4.96,5,5,4.79,0.18,Firenze,Autumn,1,private,"43.77591, 11.25846",2024-12-15
264971,0,2011-11-09,Host,2,Campo di Marte,1,1,Private room,2,1000,80,4.8,4.95,4.92,4.82,4.87,4.46,4.75,0.55,Firenze,Early Winter,1,private,"43.76999, 11.30511",2024-12-15
270205,19,2011-11-16,Superhost,2,Centro Storico,1,1,Entire home,2,120,204,4.81,4.85,4.91,4.96,4.97,4.95,4.77,1.43,Firenze,Early Winter,1,private,"43.77299, 11.26279",2024-12-15
67725,0,2010-07-15,Host,12,Centro Storico,2,1,Private room,3,114,9,4.1,4,4.4,4.7,4.6,4.9,4.2,0.08,Firenze,Early Winter,1,private,"43.77525, 11.25258",2024-12-15
68273,0,2011-01-07,Host,8,Centro Storico,1,1,Entire home,3,124,40,4.98,4.96,5,4.88,5,4.92,4.92,0.26,Firenze,Early Winter,2,private,"43.77931, 11.25805",2024-12-15
